Literature is one of the most interesting and significant expressions of humanity.;P. T. Barnum;10
Fortune always favors the brave, and never helps a man who does not help himself.;P. T. Barnum;10
Without promotion, something terrible happens... nothing!;P. T. Barnum;10
Money is in some respects life's fire: it is a very excellent servant, but a terrible master.;P. T. Barnum;10
Whatever you do in life, surround yourself with smart people who'll argue with you.;John Wooden;10
Success is a lousy teacher. It seduces smart people into thinking they can't lose.;Bill Gates;10
A man must be big enough to admit his mistakes, smart enough to profit from them, and strong enough to correct them.;John C. Maxwell;10
I'm not the smartest fellow in the world, but I can sure pick smart colleagues.;Franklin D. Roosevelt;10
A smart man makes a mistake, learns from it, and never makes that mistake again. But a wise man finds a smart man and learns from him how to avoid the mistake altogether.;Roy H. Williams;10
A smart girl leaves before she is left.;Marilyn Monroe;10
A smart man only believes half of what he hears, a wise man knows which half.;Jeff Cooper;10
I think it's cool to be smart, and I think it's sexy to be smart.;Stacey Farber;10
Working hard and working smart sometimes can be two different things.;Byron Dorgan;10
Be as smart as you can, but remember that it is always better to be wise than to be smart.;Alan Alda;10
Smart phones and social media expand our universe. We can connect with others or collect information easier and faster than ever.;Daniel Goleman;10
There are many harsh lessons to be learned from the gambling experience, but the harshest one of all is the difference between having Fun and being Smart.;Hunter S. Thompson;10
Half of being smart is knowing what you are dumb about.;Solomon Short;10
I like constructive criticism from smart people.;Prince;10
It's fine to celebrate success but it is more important to heed the lessons of failure.;Bill Gates;10
Information technology and business are becoming inextricably interwoven. I don't think anybody can talk meaningfully about one without the talking about the other.;Bill Gates;10
The Internet is becoming the town square for the global village of tomorrow.;Bill Gates;10
Your most unhappy customers are your greatest source of learning.;Bill Gates;10
We all need people who will give us feedback. That's how we improve.;Bill Gates;10
The advance of technology is based on making it fit in so that you don't really even notice it, so it's part of everyday life.;Bill Gates;10
Discrimination has a lot of layers that make it tough for minorities to get a leg up.;Bill Gates;10
Treatment without prevention is simply unsustainable.;Bill Gates;10
As we look ahead into the next century, leaders will be those who empower others.;Bill Gates;10
Intellectual property has the shelf life of a banana.;Bill Gates;10
Everyone needs a coach. It doesn't matter whether you're a basketball player, a tennis player, a gymnast or a bridge player.;Bill Gates;10
